phi_temp,theta_fix,random,dz,u,ratio,OH,CH
0,90,66.43768894,5,4,0.275876538,1.72E-17,6.24E-17
15,90,244.3729063,5,4,0.243011923,1.48E-17,6.07E-17
30,90,260.0722589,5,4,0.345591875,1.36E-17,3.94E-17
45,90,511.8732086,5,4,0.929194542,2.15E-17,2.31E-17
60,90,489.8420209,5,4,2.422307058,3.16E-17,1.30E-17
75,90,492.9246438,5,4,2.984922132,3.52E-17,1.18E-17
90,90,336.990796,5,4,2.420017478,3.63E-17,1.50E-17
105,90,52.67591321,5,4,2.730977788,3.39E-17,1.24E-17
120,90,198.0875269,5,4,2.474526957,3.31E-17,1.34E-17
135,90,332.6958602,5,4,0.877678283,1.99E-17,2.27E-17
150,90,352.4766203,5,4,0.325339525,1.31E-17,4.02E-17
165,90,523.5928076,5,4,0.243050168,1.43E-17,5.86E-17
180,90,321.3065103,5,4,0.241568988,1.66E-17,6.87E-17
195,90,518.2582162,5,4,0.246458313,1.43E-17,5.81E-17
210,90,54.06410191,5,4,0.36751804,1.41E-17,3.85E-17
225,90,49.62883262,5,4,0.926227418,2.08E-17,2.25E-17
240,90,279.7595018,5,4,2.417277443,3.13E-17,1.30E-17
255,90,523.830454,5,4,2.754900614,3.31E-17,1.20E-17
270,90,241.4631866,5,4,2.39953206,3.27E-17,1.36E-17
285,90,359.6117102,5,4,2.928648945,3.95E-17,1.35E-17
300,90,118.8256741,5,4,2.563902304,3.23E-17,1.26E-17
315,90,476.8610529,5,4,0.996740344,2.17E-17,2.18E-17
330,90,1.446381084,5,4,0.33621111,1.36E-17,4.05E-17
345,90,228.2381271,5,4,0.249235052,1.42E-17,5.70E-17
360,90,109.958814,5,4,0.301414001,1.91E-17,6.33E-17
