0,1,2,3,4,5,6,7
0,90,22.7556795,5,4,0.270407077,1.79E-17,6.61E-17
15,90,206.4386663,5,4,0.241642636,1.41E-17,5.82E-17
30,90,243.5672718,5,4,0.342862613,1.37E-17,3.98E-17
45,90,358.4492119,5,4,0.933473053,2.11E-17,2.26E-17
60,90,371.4495523,5,4,2.342747319,3.09E-17,1.32E-17
75,90,201.6746704,5,4,2.839155229,3.67E-17,1.29E-17
90,90,421.3317966,5,4,2.428820965,3.49E-17,1.44E-17
105,90,210.9808702,5,4,2.652374307,3.43E-17,1.29E-17
120,90,138.0475203,5,4,2.438473146,3.13E-17,1.28E-17
135,90,101.3521887,5,4,1.002414676,2.30E-17,2.30E-17
150,90,14.91238317,5,4,0.320081065,1.36E-17,4.24E-17
165,90,219.9793377,5,4,0.241244881,1.39E-17,5.75E-17
180,90,318.0608064,5,4,0.246527002,1.72E-17,6.99E-17
195,90,299.2361231,5,4,0.252867859,1.41E-17,5.56E-17
210,90,213.3617221,5,4,0.316997509,1.38E-17,4.34E-17
225,90,268.1334605,5,4,0.922059168,2.18E-17,2.37E-17
240,90,506.1322926,5,4,2.474721708,3.10E-17,1.25E-17
255,90,534.33489,5,4,2.827475225,3.51E-17,1.24E-17
270,90,4.009493935,5,4,2.480310383,3.62E-17,1.46E-17
285,90,4.106352424,5,4,2.976969555,3.67E-17,1.23E-17
300,90,54.87186418,5,4,2.55852694,3.18E-17,1.24E-17
315,90,311.9169339,5,4,0.898057846,2.02E-17,2.25E-17
330,90,185.6013158,5,4,0.351254094,1.50E-17,4.28E-17
345,90,315.8116126,5,4,0.262824842,1.42E-17,5.41E-17
360,90,77.88291581,5,4,0.275918765,1.71E-17,6.20E-17
